equity_original,equity_nn
12270.90911935813,10504.276989884514
12249.639437364549,10504.276989884514
12229.237595379438,10504.276989884514
12209.687307955764,10504.276989884514
12189.519147179739,10504.276989884514
12169.397289182358,10504.276989884514
12150.004113006218,10504.276989884514
12131.18472396766,10504.276989884514
12112.303857137214,10504.276989884514
12092.863057803586,10504.276989884514
12073.359464002717,10504.276989884514
12051.678084813446,10504.276989884514
12030.35681529841,10504.276989884514
12007.907070614805,10504.276989884514
12033.916589175966,10504.276989884514
12059.254006243918,10504.276989884514
12084.667315117285,10504.276989884514
12109.351115879163,10504.276989884514
12089.106012322125,10504.276989884514
12069.50698759059,10504.276989884514
12050.45075033988,10504.276989884514
12031.49853003565,10504.276989884514
12013.122891315648,10504.276989884514
11993.92266094172,10504.276989884514
12018.780071197174,10504.276989884514
12043.419115932149,10504.276989884514
12069.698235875787,10504.276989884514
12096.357425656039,10504.276989884514
12126.655251713148,10504.276989884514
12157.417504815285,10504.276989884514
12185.838222821203,10504.276989884514
12213.986039373573,10504.276989884514
12241.151896931131,10504.276989884514
12267.905900544845,10504.276989884514
12294.977489279901,10504.276989884514
12321.24395058299,10504.276989884514
12347.077107172465,10504.276989884514
12326.08101450957,10504.276989884514
12352.851451305787,10504.276989884514
12380.566856902275,10504.276989884514
12408.831120246336,10504.276989884514
12437.219399657339,10504.276989884514
12464.922857771127,10504.276989884514
12445.022321478937,10504.276989884514
12425.69754893976,10504.276989884514
12406.618586758215,10504.276989884514
12388.033825000353,10504.276989884514
12370.113711403767,10504.276989884514
12351.942175317934,10504.276989884514
12376.477007939882,10504.276989884514
12354.879703706436,10504.276989884514
12333.56792120395,10504.276989884514
12312.898386558785,10504.276989884514
12292.19226436056,10504.276989884514
12271.755835845799,10504.276989884514
12297.662446510252,10504.276989884514
12323.447170363852,10504.276989884514
12350.361598652016,10504.276989884514
12377.267839540133,10504.276989884514
12403.937962217491,10504.276989884514
12429.917361846467,10504.276989884514
12456.269675452837,10504.276989884514
12482.21108161411,10504.276989884514
12508.599474388864,10504.276989884514
12540.474354733278,10504.276989884514
12572.65818614684,10504.276989884514
12604.571771789791,10504.276989884514
12577.156928912449,10504.276989884514
12549.037398472774,10504.276989884514
12521.075010832361,10504.276989884514
12493.944255791263,10504.276989884514
12467.665697538814,10504.276989884514
12441.292053879815,10504.276989884514
12415.076516464316,10504.276989884514
12388.981701996361,10504.276989884514
12362.94511088326,10504.276989884514
12336.002539671093,10504.276989884514
12374.26086730575,10504.276989884514
12412.529342296859,10504.276989884514
12450.32146974396,10504.276989884514
12487.57124656984,10504.276989884514
12455.39057961682,10504.276989884514
12424.262828606874,10504.276989884514
12394.272774097637,10504.276989884514
